"Organisation","gl11_q1_a/singleChoice","gl11_q1_b/singleChoice","gl11_q1_c_waste/singleChoice","gl11_q1_c_transport/singleChoice","gl11_q1_c_procurement/singleChoice","gl11_q1_c_water/singleChoice","gl11_q1_c_construction/singleChoice","gl11_q1_c_emissions/singleChoice","gl11_q1_c_community/singleChoice","gl11_q1_c_biodiversity/singleChoice","gl11_q1_c/singleChoice","gl11_q2_a_pt_sole/quantity","gl11_q2_b_ft_specific/quantity","gl11_q2_c_ft_partial/quantity","gl11_q2_d_ft_sole/quantity","gl11_q2/singleChoice","gl11_q2/quantity","gl11_q3_a_waste/singleChoice","gl11_q3_a_transport/singleChoice","gl11_q3_a_procurement/singleChoice","gl11_q3_a_energy/singleChoice","gl11_q3_a_water/singleChoice","gl11_q3_a_construction/singleChoice","gl11_q3_a_emissions/singleChoice","gl11_q3_a_biodiversity/singleChoice","gl11_q3_b/singleChoice","gl11_q4_a/singleChoice","gl11_q4_bc/singleChoice","gl11_q4_d/singleChoice","gl11_q5_a/singleChoice","gl11_q5_b/singleChoice","gl11_q5_c/singleChoice","gl11_q5_d/singleChoice","gl11_q5_e/singleChoice","gl11_q5_f/singleChoice","gl11_q6_a_fairtrade/gateway","gl11_q6_a_fairtrade/singleChoice","gl11_q6_a_fairtrade/multiChoice","gl11_q6_b/singleChoice","gl11_q6_c/singleChoice","gl11_q7_a/singleChoice","gl11_q7_b/singleChoice","gl11_q7_c_i/singleChoice","gl11_q7_c_ii_fish/singleChoice","gl11_q7_c_iii_veg/singleChoice","gl11_q7_c_iv_water/singleChoice","gl11_q7_c_v_award/singleChoice","gl11_q7_c/singleChoice","gl11_q8_a/singleChoice","gl11_q8_b/singleChoice","gl11_q8_c/singleChoice","gl11_q8_d/singleChoice","gl11_q8_e/singleChoice","gl11_q8_f/singleChoice","gl11_q8_g/singleChoice","gl11_q8_h/singleChoice","gl11_q8_i/singleChoice","gl11_q8_j/singleChoice","gl11_q8_k/singleChoice","gl11_q8_l/singleChoice","gl11_q8_m/singleChoice","gl11_q8/singleChoice","gl11_q9_a/singleChoice","gl11_q9_b/singleChoice","gl11_q9_c/singleChoice","gl11_q9_d/singleChoice","gl11_q9_e/singleChoice","gl11_q9/singleChoice","gl11_q10_1_energy_renewable_pc/singleChoice","gl11_q10_1_energy_renewable_pc/multiChoice","gl11_q10_1_energy_renewable_pc/quantity","gl11_q10_energy_total/singleChoice","gl11_q10_energy_total/multiChoice","gl11_q10_2_energy_chp/singleChoice","gl11_q10_2_energy_chp/multiChoice","gl11_q10_2_energy_chp/quantity","gl11_q10_3_energy_lzc/singleChoice","gl11_q10_3_energy_lzc/multiChoice","gl11_q10_3_energy_lzc/quantity","gl11_q11_waste_total/singleChoice","gl11_q11_waste_total/multiChoice","gl11_q11_1_waste_recycled/singleChoice","gl11_q11_1_waste_recycled/multiChoice","gl11_q11_1_waste_recycled/quantity","gl11_q11_2_waste_kgph/singleChoice","gl11_q11_2_waste_kgph/multiChoice","gl11_q11_2_waste_kgph/quantity","gl11_q12_carbon_total/singleChoice","gl11_q12_carbon_total/multiChoice","gl11_q12_1_carbon_ph/singleChoice","gl11_q12_1_carbon_ph/multiChoice","gl11_q12_1_carbon_ph/quantity","gl11_q12_2_carbon_reduction/singleChoice","gl11_q12_2_carbon_reduction/multiChoice","gl11_q12_2_carbon_reduction/quantity","gl11_q13_water_total/singleChoice","gl11_q13_water_total/multiChoice","gl11_q13_1_water_ph/singleChoice","gl11_q13_1_water_ph/multiChoice","gl11_q13_1_water_ph/quantity","gl11_q13_2_water_grey/singleChoice","gl11_q13_2_water_grey/multiChoice","gl11_q13_2_water_grey/quantity","gl11_total_score/singleChoice","gl11_total_score/quantity","gl11_rank/quantity","gl11_last_year_rank/quantity","gl11_class/singleChoice",""
"Heriot-Watt University",1,2,"Yes","No","Yes","No","Yes","Yes","No","No",0,0,1,0,0,4,0.7,0.5,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,2,2,0,0,0,0,"Has achieved Fairtrade status",1,"",0,0,0,0,"No","Yes","Yes","No","No",0.5,"Yes","Yes","No","No","No","No","No","Yes","No","No","No","Yes","Yes",2,"Yes","No","Yes","No","No",1,2," (Nb: value not an option listed in question defniition)",87.33,2,"",0,"",0,0,"",0,4,"",3,"",51.41,1,"",172.7,0,"",0,"",2139.55,0,"",-7.27,0,"",0,"",33.58,0,"",0,18,24,108,89,"3rd",""
"University of Hertfordshire",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,0,2,0,3,6,1.7,0.5,0.5,0,0.5,0.5,0,0,0.5,3,1,1,0,2,1,0,1,0.5,0.5,"Has achieved Fairtrade status",1,"",0,0,0.5,0.5,"Yes ","Yes","Yes","Yes","No",1,"Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","No","Yes","No",3,"No","Yes","Yes","No","No",1,0,"ZERO",100,0,"",0,"",0,0,"",0,6,"",3,"",60.77,3,"",65.38,2,"",2,"",1317.96,0,"",-54.28,4,"",3,"",7.79,1,"",0.2291,30.5,42.5,18,3,"1st",""
"University of Huddersfield",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,1,1,0,1,6,1,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0,1,1,1,2,0,0,0,0,0,"Has achieved Fairtrade status",1,"",0,0,0.5,0.5,"Yes ","Yes","Yes","No","No",0.5,"Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No",3,"No","No","Yes","No","No",0,0," (Nb: value not an option listed in question defniition)",0,1,"",0,"",0,1,"",0.01,7,"",4,"",85.18,3,"",66.46,6,"",6,"",505.79,0,"",-10.18,5,"",4,"",2.83,1,"",0.6572,24.5,43.5,15,9,"1st",""
"University of Hull",1,2,"No","No","Yes","Yes","Yes","No","No","Yes",0,0,2,0,0,4,0.7,0,0,0,0,0,0,0,0.5,2,1,1,0,0,2,0,0,0,0,"",0,"MISSINGDATA",0,0,0,0,"No","No","No","No","No",0,"Yes","Yes","Yes","No","No","Yes","No","Yes","No","No","No","No","No",2,"Yes","Yes","Yes","Yes","Yes",2,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,3,"",1,"",34.77,2,"",106.09,3,"",3,"",1065.78,0,"",-1.06,2,"",2,"",12.42,0,"",0,17.5,25.5,102,98,"3rd",""
"Imperial College London",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,0.6,2,0,1,6,1.3,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,2,2,0,0,0,0,"Has achieved Fairtrade status",1,"",0,0,0.5,0,"Yes ","Yes","Yes","No","No",0.5,"No","Yes","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No","No",2,"No","No","Yes","Yes","No",1,0," (Nb: value not an option listed in question defniition)",0,1,"",1,"",67125220,0,"",0,3,"",3,"",60,0,"",360.26,2,"",0,"",4120.4,2,"",10.88,0,"",0,"",29.89,0,"",0,21.5,27.5,91,101,"2:2",""
"Institute of Education",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,0.33,1,0,0,8,2.1,0,0.5,0,0.5,0,0.5,0,0.5,0,0,1,0,2,2,0,1,0.5,0.5,"",0,"MISSINGDATA",0,0,0.5,0.5,"Yes ","Yes","Yes","Yes","No",1,"No","Yes","No","No","No","Yes","No","No","No","Yes","Yes","No","No",1,"No","No","No","No","No",0,0," (Nb: value not an option listed in question defniition)",0,1,"",1,"",8405556,0,"",0,1,"",0,"",19.89,1,"",137.97,4,"",4,"",808.44,0,"",-3.72,3,"",3,"",5.77,0,"",0,25,34,45,116,"2:1",""
"Keele University",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,0,1,0.5,1,6,1.6,0.5,0.5,0,0.5,0.5,0.5,0,0,0,1,1,0,2,1,0,1,0,0,"Has achieved Fairtrade status",1,"",0,0,0.5,0,"Yes ","No","Yes","No","No",0.5,"Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","No","No","No","No",2,"Yes","No","Yes","Yes","Yes",2,0,"ZERO",0,1,"",0,"",0,1,"",0.07,0,"",0,"",22.16,0,"",292.72,3,"",2,"",1378.61,1,"",2.79,1,"",0,"",24.18,1,"",0.0181,25.5,30.5,67,82,"2:2",""
"University of Kent",1,2,"Yes","No","No","No","No","No","No","No",0,0.5,2,1.25,0,6,1.3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,"Has achieved Fairtrade status",1,"",0,0,0,0,"Yes ","Yes","Yes","No","No",0.5,"Yes","Yes","Yes","No","No","No","No","No","Yes","No","Yes","No","No",2,"No","No","No","No","No",0,0," (Nb: value not an option listed in question defniition)",0,1,"",1,"",1603457,0,"",0,6,"",3,"",46.67,3,"",70.75,3,"",3,"",1101.62,0,"",-7.74,2,"",2,"",13.56,0,"",0,16.5,28.5,83,89,"2:2",""
"King's College London",1,2,"Yes","No","Yes","Yes","Yes","Yes","No","No",0,0,3,1.5,0,6,1.5,0.5,0,0,0,0.5,0,0,0,3,0,0,0,2,2,0,1,0.5,0,"Has achieved Fairtrade status",1,"",0,0,0,0,"No","No","No","No","No",0,"Yes","Yes","No","Yes","No","No","No","No","No","Yes","Yes","Yes","No",2,"No","No","No","No","No",0,0," (Nb: value not an option listed in question defniition)",0,2,"",1,"",21090784,1,"",0.13,7,"",3,"",61.12,4,"",41.74,2,"",0,"",2131.42,2,"",7.72,2,"",2,"",13.21,0,"",0,21.5,34.5,44,113,"2:1",""
"Kingston University",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,0.6,1,0,3,6,1.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3.5,0,0,0,2,0,1,1,0.5,0.5,"Has achieved Fairtrade status",1,"",0,0,0.5,0,"Yes ","Yes","Yes","Yes","No",1,"No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","No",3,"No","No","Yes","Yes","Yes",1,2," (Nb: value not an option listed in question defniition)",80,2,"",0,"",0,0,"",0,5,"",2,"",37.51,3,"",71.9,5,"",5,"",711.74,0,"",-25.1,3,"",2,"",9.32,1,"",0.1087,30,45,9,15,"1st",""
"Lancaster University",1,2,"Yes","Yes","Yes","Yes","Yes","No","No","Yes",0,0,1,1,3,8,2.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,2,2,0,0,0,0,"Has achieved Fairtrade status",1,"",0,0,0.5,0.5,"No","No","Yes","Yes","No",0.5,"Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","No",3,"No","No","No","No","No",0,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,4,"",2,"",36.07,2,"",109.13,1,"",1,"",1864.26,0,"",-18.5,0,"",0,"",35.43,0,"",0,24.5,29.5,75,65,"2:2",""
"Leeds Metropolitan University",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,0,1,0.5,2,6,1.2,0,0.5,0,0.5,0.5,0.5,0.5,0.5,4,0,0,0,2,1,0,0,0,0,"Has achieved Fairtrade status",1,"",0,0,0.5,0,"No","No","No","No","No",0,"Yes","No","Yes","No","No","No","Yes","Yes","No","Yes","No","No","Missing evidence",2,"Yes","No","Yes","No","No",1,3," (Nb: value not an option listed in question defniition)",90.03,4,"",1,"",692445,0,"",0,4,"",3,"",57.2,1,"",194.21,6,"",4,"",748.46,2,"",6.73,6,"",4,"",4.39,2,"",2.9299,25.5,45.5,7,12,"1st",""
"Leeds Trinity and All Saints",1,2,"Yes","Yes","No","No","No","No","No","No",0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,2,0,0,0,0,"Has achieved Fairtrade status",1,"",0,0,0,0,"No","No","No","Yes","No",0,"No","No","No","No","No","Yes","No","No","No","Yes","No","No","No",0,"No","No","No","Yes","No",0,0," (Nb: value not an option listed in question defniition)",0,1,"",1,"",818758,0,"",0,7,"",3,"",55.01,4,"",39.01,4,"",4,"",743.72,0,"",-15.97,2,"",2,"",10.89,0,"",0,7.5,21.5,118,109,"3rd",""
"University of Leeds",1,0,"Yes","Yes","Yes","No","Yes","Yes","No","No",0,0,2,0.5,2,6,1.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0,1,0,0,0,1,0,0,0,0,"Has achieved Fairtrade status",1,"",0,0,0.5,0.5,"Yes ","Yes","Yes","Yes","No",1,"No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes",3,"No","No","No","No","Yes",0,0," (Nb: value not an option listed in question defniition)",0,2,"",1,"",139700415,1,"",0.12,4,"",4,"",91.95,0,"",492.02,1,"",1,"",1905.18,0,"",-37.8,1,"",0,"",21.21,1,"",0.0669,18,26,100,25,"2:2",""
"University of Leicester",1,2,"Yes","Yes","No","No","Yes","Yes","Yes","Yes",0,0,5,0,1,8,2.3,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0,0,0,0,2,2,0,0,0.5,0,"Has achieved Fairtrade status",1,"",0,0,0.5,0.5,"Yes ","Yes","Yes","Yes","No",1,"Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes",3,"No","No","Yes","Yes","No",1,0," (Nb: value not an option listed in question defniition)",0,1,"",0,"",0,1,"",0.03,1,"",0,"",14.64,1,"",143.94,0,"",0,"",2203.96,0,"",-16.93,1,"",1,"",16.19,0,"",0,25.5,28.5,83,77,"2:2",""
"University of Lincoln",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,0,1,0,1,4,0.9,0,0,0,0.5,0.5,0.5,0,0.5,0,0,0,0,2,1,0,0,0,0,"",0,"MISSINGDATA",0,0,0,0,"No","No","No","No","No",0,"Yes","Yes","Yes","No","No","No","Yes","No","No","No","Yes","Yes","No",2,"No","No","No","No","No",0,3," (Nb: value not an option listed in question defniition)",99,4,"",0,"",0,1,"",0.02,3,"",1,"",33.96,2,"",89.93,7,"",4,"",788.2,3,"",13.1,4,"",4,"",3.31,0,"",0,16,34,45,75,"2:1",""
"Liverpool Hope University",1,"Not yet assessed","No","No","No","No","Yes","No","No","No",0,0,1,0,0,4,0.8,0,0.5,0,0.5,0,0,0,0,0,0,0,0,2,2,0,0,0,0,"Has achieved Fairtrade status",1,"",0,0,0,0,"No","Yes","Yes","No","No",0.5,"No","No","No","No","No","Yes","No","No","No","Yes","No","No","No",0,"No","No","Yes","No","No",0,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,3,"",3,"",51.06,0,"",337.38,4,"",4,"",810.93,0,"",-3.15,3,"",3,"",7.87,0,"",0,11.5,21.5,118,109,"3rd",""
"Liverpool John Moores University",1,2,"Yes","Yes","Yes","Yes","Yes","No","No","No",0,0,2,0,0,4,0.7,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0,1,1,0,2,2,0,1,0,0,"Has achieved Fairtrade status",1,"",0,0,0,0,"No","No","No","No","No",0,"No","No","No","Yes","No","Yes","No","No","No","Yes","No","No","No",1,"No","No","No","No","No",0,1," (Nb: value not an option listed in question defniition)",15,1,"",0,"",0,0,"",0,5,"",1,"",25.76,4,"",41.34,8,"",6,"",587.6,2,"",9.93,4,"",4,"",2.8,0,"",0,19,37,31,34,"1st",""
"University of Liverpool",1,2,"Yes","Yes","Yes","Yes","Yes","No","Yes","No",0,0.5,0,0,2,4,0.8,0.5,0.5,0,0.5,0.5,0,0,0,0,0,1,0,2,2,0,0,0,0,"Has achieved Fairtrade status",1,"",0,0,0,0,"No","No","No","Yes","No",0,"Yes","No","Yes","Yes","No","No","No","Yes","Yes","No","Yes","No","No",2,"No","No","Yes","No","No",0,0," (Nb: value not an option listed in question defniition)",0,1,"",1,"",16889300,0,"",0,2,"",1,"",29.6,1,"",168.64,2,"",0,"",2216.58,2,"",7.72,1,"",1,"",15.65,0,"",0,17,23,114,61,"3rd",""
"London Business School",1,2,"No","Yes","Yes","No","No","No","Yes","No",0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,"",0,"MISSINGDATA",0,0,0,0,"Yes ","Yes","Yes","Yes","No",1,"No","No","Yes","No","No","No","No","No","No","No","No","Yes","No",0,"No","No","Yes","No","No",0,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,1,"",1,"",28.35,0,"",467.75,3,"",1,"",1706.88,2,"",5.22,2,"",2,"",12.8,0,"D38b_C01_water_total:29830, D77a_C01_water_grey:No EMS data, LY_D77a_water_grey:0, LY_D38b_water_total:No EMS Last Year",0,7.5,13.5,135,116,"Fail",""
"London Metropolitan University",1,2,"No","Yes","Yes","No","Yes","No","No","No",0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0.5,0,0,0,0,0,0,2,2,0,0,0,0,"",0,"MISSINGDATA",0,0,0,0,"No","No","No","No","No",0,"No","Yes","Yes","No","No","No","Yes","No","No","No","No","No","No",1,"No","No","Yes","No","No",0,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,5,"",3,"",45.11,2,"",94.57,5,"",5,"",687.36,0,"",-4.26,3,"",3,"",6.45,0,"",0,10,23,114,89,"3rd",""
"Loughborough University",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,0.5,1,0,1,4,0.9,0.5,0.5,0,0.5,0,0,0.5,0.5,2,1,1,0,2,2,0,0,0,0,"Has achieved Fairtrade status",1,"",0.5,0,0,0,"Yes ","Missing evidence","Yes","No","No",0.5,"Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","No",3,"No","No","No","No","No",0,0," (Nb: value not an option listed in question defniition)",0,1,"",1,"",13748460,0,"",0,3,"",1,"",28.53,2,"",105.56,4,"",2,"",1473.01,2,"",8.4,1,"",1,"",19.19,0,"",0,24.5,33.5,53,34,"2:1",""
"London School of Economics And Political Science",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,0.5,4,0,1,8,3.1,0.5,0.5,0,0.5,0.5,0.5,0,0.5,3,1,1,1,2,2,0,0,0,0,"Has achieved Fairtrade status",1,"",0,0,0.5,0.5,"Yes ","Yes","Yes","Yes","No",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No",3,"No","No","Yes","No","No",0,3," (Nb: value not an option listed in question defniition)",100,3,"",0,"",0,0,"",0,2,"",2,"",41.87,0,"",311.3,2,"",2,"",1485.94,0,"",-13.51,1,"",1,"",18.62,0,"",0,32,40,20,15,"1st",""
"London School of Hygiene & Tropical Medicine",1,0,"Yes","Yes","Yes","Yes","Yes","No","No","No",0,0.25,0,0,0,6,1.4,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,"",0,"MISSINGDATA",0.5,0,0,0,"Yes ","No","Yes","No","No",0.5,"No","Yes","Yes","No","No","No","No","No","Yes","No","No","No","Yes",1,"No","No","No","No","No",0,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,4,"",1,"",27.94,3,"",75.08,0,"",0,"",2549.27,0,"",-60.9,1,"",1,"",18.52,0,"",0,14,19,123,122,"Fail",""
"Manchester Metropolitan University",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,0.5,5,0.6,2,8,2.7,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0,0,0,0,2,2,1,1,0.5,0.5,"Has achieved Fairtrade status",1,"",0.5,0,0.5,0.5,"No","No","Yes","No","No",0,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes",3,"No","Yes","Yes","No","Yes",1,0," (Nb: value not an option listed in question defniition)",0,1,"",0,"",0,1,"",0.74,4,"",4,"",86.34,0,"",431.78,7,"",5,"",673.96,2,"",6.51,3,"",3,"",6.57,0,"",0,29.5,44.5,11,27,"1st",""
"University of Manchester",1,0,"No","Yes","No","Not yet assessed","Yes","No","No","No",0,0,3,1.2,2,8,2.1,0.5,0.5,0,0.5,0.5,0,0,0.5,0,1,1,0,2,2,0,1,0,0,"Has achieved Fairtrade status",1,"",0,0,0.5,0.5,"Yes ","Yes","Yes","No","No",0.5,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes",3,"No","No","No","No","No",0,0," (Nb: value not an option listed in question defniition)",0,1,"",0,"",0,1,"",0.02,3,"",1,"",27.31,2,"",101.8,0,"",0,"",2098.77,0,"",-7.98,0,"",0,"",26.73,0,"",0,24,28,87,65,"2:2",""
"Middlesex University, London",1,0,"No","No","Yes","Yes","Yes","No","No","No",0,0,2,0,1,6,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,2,2,0,0,0,0,"",0,"MISSINGDATA",0,0,0,0,"No","Yes","No","No","No",0,"No","No","No","No","No","No","Yes","No","No","No","Yes","No","No",0,"No","No","No","No","No",0,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,0,"",0,"",4.49,0,"",546.42,7,"",6,"",519.75,1,"",3.63,4,"",4,"",4.57,0,"",0,12,23,114,129,"3rd",""
"Edinburgh Napier University",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,0,1,0,1,4,0.9,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0,1,1,0,2,2,0,1,0.5,0.5,"Has achieved Fairtrade status",1,"",0,0,0.5,0.5,"No","No","No","No","No",0,"No","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","No","Yes","No",2,"No","No","Yes","No","No",0,1," (Nb: value not an option listed in question defniition)",38.6,2,"",0,"",0,1,"",0.51,6,"",2,"",43.47,4,"",30.76,8,"",5,"",625.12,3,"",16.35,4,"",4,"",4.44,0,"",0,24.5,44.5,11,29,"1st",""
"Newcastle University",1,2,"Yes","Yes","No","Yes","Yes","Yes","Yes","No",0,0,4,0,1,6,1.7,0.5,0.5,0,0.5,0,0,0,0.5,3,0,0,0,2,2,0,1,0,0.5,"Has achieved Fairtrade status",1,"",0,0,0,0,"No","No","No","No","No",0,"No","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No",3,"No","No","No","Yes","No",0,0," (Nb: value not an option listed in question defniition)",0,2,"",1,"",835674,1,"",0.01,4,"",3,"",57.67,1,"",275.03,0,"",0,"",2135.28,0,"",-4.17,2,"",1,"",18.09,1,"",0.0997,23.5,31.5,62,104,"2:1",""
"Newman University College",1,2,"No","No","No","No","No","No","No","No",0,0.65,0,0,0,6,1.3,0,0,0,0,0,0,0,0,2,0,0,1,2,2,0,0,0,0,"Has achieved Fairtrade status",1,"",0,0,0,0,"No","No","No","Yes","No",0,"No","Yes","No","No","No","Yes","Yes","No","No","Yes","No","Yes","No",2,"No","No","No","No","No",0,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,1,"",0,"",4.04,1,"",143.8,6,"",6,"",529.48,0,"",-5.03,4,"",4,"",5.12,0,"",0,19,30,72,111,"2:2",""
"University of Wales, Newport",1,2,"Yes","Yes","Yes","Yes","No","No","No","Yes",0,0,0,0,1,4,1,0.5,0.5,0,0.5,0.5,0,0,0.5,0,1,0,0,2,0,0,0,0,0,"Has achieved Fairtrade status",1,"",0,0,0,0,"No","No","No","Yes","No",0,"No","No","No","No","No","No","Yes","Yes","No","No","No","Yes","Yes",1,"No","No","No","No","No",0,1," (Nb: value not an option listed in question defniition)",7,1,"",0,"",0,0,"",0,4,"",1,"",34.82,3,"",61.22,4,"",4,"",764.04,0,"",-1.94,3,"",3,"",6.61,0,"",0,14.5,26.5,97,34,"2:2",""
"University of Northampton",1,2,"Yes","Yes","Yes","Yes","Yes","No","No","Yes",0,0,0,0,2,6,1.1,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,2,0,0,0,2,2,0,0,0,0,"Has achieved Fairtrade status",1,"",0,0,0,0,"No","No","No","No","No",0,"No","No","No","No","No","No","No","No","No","Yes","No","No","No",0,"No","No","No","No","No",0,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,4,"",1,"",32.58,3,"",82.91,4,"",4,"",837.54,0,"",-11.73,2,"",2,"",9.63,0,"",0,19.5,29.5,75,70,"2:2",""
"Northumbria University",1,2,"Yes","Yes","No","No","Yes","No","No","Yes",0,0,0,0,1,0,0.3,0.5,0.5,0,0.5,0,0,0,0.5,0,0,0,0,2,1,0,0,0,0,"",0,"MISSINGDATA",0,0," (Nb: value not an option listed in question defniition)"," (Nb: value not an option listed in question defniition)"," (Nb: value not an option listed in question defniition)"," (Nb: value not an option listed in question defniition)"," (Nb: value not an option listed in question defniition)"," (Nb: value not an option listed in question defniition)"," (Nb: value not an option listed in question defniition)","","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","No","No","Yes","No",2,"No","No","No","No","No",0,0," (Nb: value not an option listed in question defniition)",0,1,"",0,"",0,1,"",0.03,5,"",4,"",93.49,1,"",168.81,4,"",4,"",810.05,0,"",-28.76,4,"",3,"",5.57,1,"",0.1763,10,24,108,75,"3rd",""
"Nottingham Trent University",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,0,6,0,3,8,3,0.5,0.5,0,0.5,0.5,0,0.5,0.5,3.5,1,1,0,2,2,0,1,0,0,"Has achieved Fairtrade status",1,"",0,0,0.5,0.5,"Yes ","Missing evidence","Yes","No","Yes",0.5,"Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes",3,"No","Yes","Yes","Yes","Yes",2,3," (Nb: value not an option listed in question defniition)",92.63,4,"",1,"",3958613,0,"",0,8,"",4,"",78,4,"",46.06,4,"",4,"",724.44,0,"",-23.46,4,"",4,"",4.95,0,"",0,34,54,1,5,"1st",""
"University of Nottingham",1,2,"Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",0,0,2,0,3,6,1.7,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0,2,0,0,0,0,0,"Has achieved Fairtrade status",1,"",0,0,0,0,"No","No","No","No","No",0,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No",3,"Yes","No","Yes","Yes","Yes",2,0," (Nb: value not an option listed in question defniition)",0,1,"",0,"",0,1,"",0.56,3,"",2,"",41.37,1,"",142.41,1,"",1,"",1946.21,0,"",-11.97,2,"",0,"",21.75,2,"",2.4769,20.5,27.5,91,53,"2:2",""
"The Open University",1,0,"Yes","Yes","No","Yes","Yes","No","No","No",0,0,2,0,0,8,16.4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"",0,"MISSINGDATA",0,0,0,0,"No","No","No","No","No",0,"No","No","No","No","No","No","Yes","No","No","No","No","No","No",0,"No","No","No","No","No",0,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,4,"",4,"",71.95,0,"",367.36,0,"",0,"",3046.41,0,"",-6.4,3,"",2,"",12.45,1,"",0.6113,11,18,127,82,"Fail",""
"Oxford Brookes University",1,2,"No","Yes","No","No","No","No","Yes","No",0,0,2.5,0,1,6,1.2,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,2,1,1,0,2,2,0,0,0,0,"Has achieved Fairtrade status",1,"",0,0,0,0.5,"Yes ","Yes","Yes","No","No",0.5,"Yes","No","No","Yes","No","No","No","No","Yes","No","Yes","Yes","No",2,"No","No","Yes","No","No",0,0,"ZERO",18,1,"",1,"",1226664,0,"",0,6,"",3,"",55.03,3,"",63.7,3,"",3,"",939.29,0,"",-6.58,2,"",2,"",10.91,0,"",0,24.5,36.5,34,7,"2:1",""
