"Organisation","gl11_q1_a/singleChoice","gl11_q1_b/singleChoice","gl11_q1_c_waste/singleChoice","gl11_q1_c_transport/singleChoice","gl11_q1_c_procurement/singleChoice","gl11_q1_c_water/singleChoice","gl11_q1_c_construction/singleChoice","gl11_q1_c_emissions/singleChoice","gl11_q1_c_community/singleChoice","gl11_q1_c_biodiversity/singleChoice","gl11_q1_c/singleChoice","gl11_q2_a_pt_sole/quantity","gl11_q2_b_ft_specific/quantity","gl11_q2_c_ft_partial/quantity","gl11_q2_d_ft_sole/quantity","gl11_q2/singleChoice","gl11_q2/quantity","gl11_q3_a_waste/singleChoice","gl11_q3_a_transport/singleChoice","gl11_q3_a_procurement/singleChoice","gl11_q3_a_energy/singleChoice","gl11_q3_a_water/singleChoice","gl11_q3_a_construction/singleChoice","gl11_q3_a_emissions/singleChoice","gl11_q3_a_biodiversity/singleChoice","gl11_q3_b/singleChoice","gl11_q4_a/singleChoice","gl11_q4_bc/singleChoice","gl11_q4_d/singleChoice","gl11_q5_a/singleChoice","gl11_q5_b/singleChoice","gl11_q5_c/singleChoice","gl11_q5_d/singleChoice","gl11_q5_e/singleChoice","gl11_q5_f/singleChoice","gl11_q6_a_fairtrade/gateway","gl11_q6_a_fairtrade/singleChoice","gl11_q6_a_fairtrade/multiChoice","gl11_q6_b/singleChoice","gl11_q6_c/singleChoice","gl11_q7_a/singleChoice","gl11_q7_b/singleChoice","gl11_q7_c_i/singleChoice","gl11_q7_c_ii_fish/singleChoice","gl11_q7_c_iii_veg/singleChoice","gl11_q7_c_iv_water/singleChoice","gl11_q7_c_v_award/singleChoice","gl11_q7_c/singleChoice","gl11_q8_a/singleChoice","gl11_q8_b/singleChoice","gl11_q8_c/singleChoice","gl11_q8_d/singleChoice","gl11_q8_e/singleChoice","gl11_q8_f/singleChoice","gl11_q8_g/singleChoice","gl11_q8_h/singleChoice","gl11_q8_i/singleChoice","gl11_q8_j/singleChoice","gl11_q8_k/singleChoice","gl11_q8_l/singleChoice","gl11_q8_m/singleChoice","gl11_q8/singleChoice","gl11_q9_a/singleChoice","gl11_q9_b/singleChoice","gl11_q9_c/singleChoice","gl11_q9_d/singleChoice","gl11_q9_e/singleChoice","gl11_q9/singleChoice","gl11_q10_1_energy_renewable_pc/singleChoice","gl11_q10_1_energy_renewable_pc/multiChoice","gl11_q10_1_energy_renewable_pc/quantity","gl11_q10_energy_total/singleChoice","gl11_q10_energy_total/multiChoice","gl11_q10_2_energy_chp/singleChoice","gl11_q10_2_energy_chp/multiChoice","gl11_q10_2_energy_chp/quantity","gl11_q10_3_energy_lzc/singleChoice","gl11_q10_3_energy_lzc/multiChoice","gl11_q10_3_energy_lzc/quantity","gl11_q11_waste_total/singleChoice","gl11_q11_waste_total/multiChoice","gl11_q11_1_waste_recycled/singleChoice","gl11_q11_1_waste_recycled/multiChoice","gl11_q11_1_waste_recycled/quantity","gl11_q11_2_waste_kgph/singleChoice","gl11_q11_2_waste_kgph/multiChoice","gl11_q11_2_waste_kgph/quantity","gl11_q12_carbon_total/singleChoice","gl11_q12_carbon_total/multiChoice","gl11_q12_1_carbon_ph/singleChoice","gl11_q12_1_carbon_ph/multiChoice","gl11_q12_1_carbon_ph/quantity","gl11_q12_2_carbon_reduction/singleChoice","gl11_q12_2_carbon_reduction/multiChoice","gl11_q12_2_carbon_reduction/quantity","gl11_q13_water_total/singleChoice","gl11_q13_water_total/multiChoice","gl11_q13_1_water_ph/singleChoice","gl11_q13_1_water_ph/multiChoice","gl11_q13_1_water_ph/quantity","gl11_q13_2_water_grey/singleChoice","gl11_q13_2_water_grey/multiChoice","gl11_q13_2_water_grey/quantity","gl11_total_score/singleChoice","gl11_total_score/quantity","gl11_rank/quantity","gl11_last_year_rank/quantity","gl11_class/singleChoice",""
"University College Falmouth",1,2,"No","No","No","No","Yes","No","No","No",0,0.4,0.5,0,0,6,1.4,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0,2,0,0,0,0,0,"",0,"MISSINGDATA",0.5,0,0,0,"Yes ","Yes","Yes","No","No",0.5,"No","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","No",2,"No","No","No","No","No",0,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,5,"",4,"",73.57,1,"",235.94,3,"",3,"",991.65,0,"",-26.23,3,"",2,"",9.35,1,"",0.5734,16,27,94,89,"2:2",""
"University of Glamorgan",1,2,"No","Yes","No","No","Yes","No","No","No",0,0,1,0,1,4,0.7,0.5,0.5,0,0.5,0,0.5,0.5,0,4,0,1,0,0,0,0,0,0,0,"Has achieved Fairtrade status",1,"",0,0,0,0,"No","No","No","No","No",0,"No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No",3,"No","No","No","No","No",0,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,4,"",4,"",94.15,0,"",1091.01,8,"",6,"",441.94,2,"",8.63,5,"",4,"",5.1,1,"",0.023,18.5,35.5,39,13,"2:1",""
"Glasgow Caledonian University",1,2,"Yes","Yes","No","Yes","No","No","No","Yes",0,0,0,0,1,0,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,0,1,0,2,2,0,0,0,0,"",0,"MISSINGDATA",0,0,0,0,"Yes ","Yes","Yes","No","No",0.5,"Yes","No","Yes","No","No","Yes","Yes","No","No","No","No","No","No",1,"Yes","No","Yes","No","No",1,0,"ZERO",0,0,"",0,"",0,0,"",0,4,"",0,"",3.63,4,"",39.71,5,"",5,"",613.96,0,"",-5.64,4,"",4,"",3.22,0,"",0,17.5,30.5,67,25,"2:2",""
"Glasgow School of Art",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","No","No",0,0,0,0.5,0,6,1.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0,0,0,0,2,0,0,1,0,0,"",0,"MISSINGDATA",0,0,0,0,"No","No","No","No","No",0,"No","No","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No",2,"Yes","No","Yes","No","No",1,3," (Nb: value not an option listed in question defniition)",100,4,"",0,"",0,1,"",0.02,3,"",3,"",45.02,0,"",278.85,1,"",1,"",1688.58,0,"",-32.46,1,"",1,"",18.14,0,"",0,18,27,94,0,"2:2",""
"University of Glasgow",1,2,"Yes","Yes","Yes","Yes","Yes","No","No","Yes",0,0,0.8,0.5,1,4,0.8,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,1,0,0,2,0,1,0.5,0,"Has achieved Fairtrade status",1,"",0,0,0,0,"No","No","No","No","No",0,"No","No","No","No","No","Yes","No","Yes","No","Yes","Yes","No","Yes",2,"No","No","No","No","No",0,2," (Nb: value not an option listed in question defniition)",80,3,"",0,"",0,1,"",0.25,2,"",0,"",7.28,2,"",129.03,1,"",1,"",1911.81,0,"",-13.87,1,"",1,"",15.11,0,"",0,18,25,105,43,"3rd",""
"University of Gloucestershire",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,1.5,0,2,1,8,2.9,0.5,0.5,0.5,0.5,0.5,0,0,0.5,4,1,1,1,2,2,0,0,0,0,"Has achieved Fairtrade status",1,"",0,0,0.5,0.5,"Yes ","Yes","Yes","Yes","No",1,"Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No",3,"Yes","Yes","Yes","Yes","Yes",2,3," (Nb: value not an option listed in question defniition)",100,4,"",0,"",0,1,"",0.31,4,"",1,"",25.13,3,"",66.25,7,"",6,"",523.31,1,"",4.3,3,"",3,"",5.68,0,"",0,35,53,2,2,"1st",""
"Glyndwr University",1,2,"No","No","Yes","No","No","No","No","No",0,0,0,0.5,0,4,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"MISSINGDATA",0.5,0,0.5,0.5,"No","No","Yes","No","No",0,"No","No","No","No","No","Yes","No","No","No","No","Yes","No","No",0,"Yes","No","Yes","No","No",1,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"No EMS data",0,0,"D38a_C01_energy_total:No EMS data, D72d_C01_energy_renewable:No EMS data",0,3,"",0,"",7.26,3,"",59.27,0,"",0,"D38c_C01_carbon_total:No EMS data, D04_C04_students_fte_teaching:4630.4, D04_C07_students_fte_research:67.3, D05_C01_staff_fte:580.2, LY_fte:4608.65, LY_D38c_C1_carbon:No EMS Last Year",0,0,"D38c_C01_carbon_total:No EMS data, Baseline_2005_carbon:3557564.25, LY_D38c_C1_carbon:No EMS Last Year",0,0,"",0,"D38b_C01_water_total:No EMS data, D04_C04_students_fte_teaching:4630.4, D04_C07_students_fte_research:67.3, D05_C01_staff_fte:580.2, LY_fte:4608.65, LY_D38b_water_total:No EMS Last Year",0,0,"D38b_C01_water_total:No EMS data, D77a_C01_water_grey:No EMS data, LY_D77a_water_grey:0, LY_D38b_water_total:No EMS Last Year",0,10.5,13.5,135,132,"Fail",""
"Goldsmiths, University of London",1,2,"Yes","Yes","No","Yes","Yes","No","Yes","No",0,0,1,0,0,4,0.7,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0,1,1,0,2,2,1,0,0,0,"",0,"MISSINGDATA",0,0,0,0,"Yes ","Yes","Yes","Yes","No",1,"Yes","No","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No",3,"No","No","Yes","No","No",0,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,2,"",2,"",41.38,0,"",302.04,3,"",3,"",1150.71,0,"",-44.31,2,"",2,"",10.26,0,"",0,21,28,87,89,"2:2",""
"University of Greenwich",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,0.33,1,2.6,3,8,2.3,0.5,0.5,0,0.5,0,0,0,0.5,2,1,0,0,2,2,0,0,0,0,"",0,"MISSINGDATA",0,0,0.5,0.5,"Yes ","Yes","Yes","Yes","No",1,"Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","No","Yes","Yes","No",3,"No","No","Yes","No","No",0,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,6,"",3,"",50.24,3,"",55.41,8,"",5,"",648.3,3,"",14.36,4,"",4,"",3.83,0,"",0,27,45,9,61,"1st",""
"Guildhall School of Music and Drama",1,2,"No","Yes","Yes","Yes","No","No","Yes","Yes",2,0,0,0,0.55,8,3.8,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0,2,0,0,0,0,0,"",0,"MISSINGDATA",0,0,0,0,"Yes ","Yes","No","No","No",0.5,"No","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No",3,"No","No","Yes","No","No",0,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,1,"",1,"",30.38,0,"",592.63,2,"",2,"",1550.4,0,"D38c_C01_carbon_total:1813508, Baseline_2005_carbon:#N/A, LY_D38c_C1_carbon:1256099.28",0,1,"",1,"",15.39,0,"",0,22,26,100,113,"2:2",""
