People & Planet Green League 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,Last Year,,Score subtotals,,,Policy scores,,,,,,,,Performance scores,,,,,Performance data and score breakdown,,,,,,,,,,,,,,,,,,
Rank,University,Score,Award Class,,Rank 2009,,Policy,Performance,,1. Publicly Available Environmental Policy,2. Environmental Management Staff,3. Environmental Auditing & Management Systems,4. Ethical Investment Policy,5. Carbon Management,6. Sustainable Procurement and Fairtrade,7. Staff and student engagement,,8. Energy sources,9. Waste,10. Carbon emissions,11. Water Consumption,,8.1 Percentage total energy from renewable energy sources subject to LECs,,8.2 Institution has an onsite Combined Heat and Power Plant (CHP),,8.3 Percentage of total energy generated on-site from Low and Zero-Carbon (LZC) technologies,,9.1 Percentage of waste an institution recycles,,9.2 Waste mass per head,,10.1 Institution’s carbon emissions per head,,10.2 Institutional carbon emissions reductions compared to sector-wide carbon reduction targets from 2005 baseline.,,11.1 Water consumption per head,,11.2 Percentage total water from grey or rain water,,
,,,,,,,,,,,,,,,,,,,,,,,Data,Score,Data,Score,Data,Score,Data,Score,Data,Score,Data,Score,Data,Score,Data,Score,Data,Score,
113,Buckinghamshire New University,19.5,Fail,,0,,5.5,14,,2,0,2,0,0,1.5,0,,0,5,7,2,,0,0,0,0,Invalid,0,49.86,3,100.08,2,707.58,3,23.42,4,8.89,2,0,0,
113,Guildhall School of Music and Drama,19.5,Fail,,116,,14.5,5,,2,6,1.5,1,2,0,2,,0,3,2,0,,0,0,0,0,Invalid,0,50.51,3,600.96,0,1127.98,2,Invalid,0,Invalid,0,Invalid,0,
113,King's College London,19.5,Fail,,38,,10.5,9,,4,0,1,1,3,1.5,0,,0,8,0,1,,0,0,0,0,0,0,64.53,4,26.78,4,2711.54,0,-26.51,0,17.86,1,0,0,
116,Institute of Education,19,Fail,,72,,7,12,,4,0,0,2,0,0,1,,1,3,4,4,,0,0,1,1,0,0,34.95,2,158.37,1,527.77,4,Invalid,0,5.04,4,0,0,
116,London Business School,19,Fail,,107,,15,4,,4,6,1.5,0,0,1.5,2,,0,1,1,2,,0,0,0,0,0,0,29.07,1,517.29,0,1822.27,1,-6.79,0,12.59,2,Invalid,0,
116,Swansea University,19,Fail,,65,,10,9,,0,4,2.5,0,0,2.5,1,,1,5,2,1,,0,0,1,1,0,0,33.45,2,80.89,3,1262.2,2,-15.01,0,17.69,1,0,0,
119,University of Abertay Dundee,17,Fail,,113,,14,3,,0,6,1.5,0,5,1.5,0,,1,0,2,0,,10,1,0,0,0,0,Invalid,0,Invalid,0,847.04,2,Invalid,0,Invalid,0,Invalid,0,
119,Thames Valley University,17,Fail,,110,,6,11,,2,0,1,0,3,0,0,,1,2,4,4,,14,1,0,0,0,0,10.42,0,90.46,2,629.79,4,-37.33,0,5.25,4,0,0,
121,University of Strathclyde,15.5,Fail,,68,,10.5,5,,4,0,2.5,0,4,0,0,,0,4,1,0,,0,0,0,0,0,0,Invalid,0,23.35,4,1843.63,1,-18.46,0,20.67,0,0,0,
122,London School of Hygiene & Tropical Medicine,15,Fail,,120,,10,5,,4,0,0,2,1,1,2,,0,4,0,1,,0,0,0,0,0,0,30.94,1,86.71,3,2415.32,0,Invalid,0,15.37,1,0,0,
122,University of Salford,15,Fail,,113,,8,7,,2,4,1,0,0,0,1,,0,2,3,2,,0,0,0,0,0,0,25.25,1,148.23,1,760.14,3,-7.26,0,11.03,2,0,0,
124,University of Bedfordshire,14,Fail,,98,,7,7,,2,0,1,0,3,0,1,,0,2,3,2,,0,0,0,0,0,0,38.69,2,309.86,0,725.4,3,-58.84,0,8.99,2,0,0,
125,Queen Margaret University,13,Fail,,91,,2,11,,0,0,1,0,0,0,1,,0,3,4,4,,0,0,0,0,0,0,14.63,0,59.08,3,789.03,3,3.98,1,0.42,4,0,0,
126,University of Wolverhampton,12.5,Fail,,110,,5.5,7,,2,0,0,0,1,1.5,1,,0,2,2,3,,0,0,0,0,0,0,11.11,0,117.43,2,895.74,2,-0.83,0,8.45,3,0,0,
127,The School of Pharmacy,12,Fail,,124,,8,4,,0,6,0,0,2,0,0,,0,1,1,2,,0,0,0,0,0,0,7.94,0,211.28,1,1432.14,1,-3.38,0,9.22,2,0,0,
127,University of Bolton,12,Fail,,112,,2,10,,2,0,0,0,0,0,0,,0,0,8,2,,0,0,0,0,0,0,Invalid,0,Invalid,0,609.6,4,21.68,4,8.93,2,0,0,
129,Middlesex University,11,Fail,,116,,4,7,,2,0,0,0,1,1,0,,0,0,4,3,,0,0,0,0,0,0,20.46,0,393.52,0,536.63,4,Invalid,0,5.55,3,0,0,
129,Royal Academy of Music,11,Fail,,123,,7,4,,2,4,0,0,0,0,1,,0,1,1,2,,0,0,0,0,0,0,30.94,1,371.79,0,1456.42,1,-19.07,0,8.71,2,0,0,
131,University of Cumbria,10.5,Fail,,95,,4.5,6,,2,0,1.5,0,1,0,0,,0,1,2,3,,0,0,0,0,0,0,14.64,0,137.02,1,1100.52,2,-58.71,0,7.33,3,0,0,
132,Glyndwr University,6.5,Fail,,119,,6.5,0,,2,0,3.5,0,0,0,1,,0,0,0,0,,0,0,0,0,Invalid,0,Invalid,0,Invalid,0,Invalid,0,Invalid,0,Invalid,0,Invalid,0,
133,University College Plymouth St Mark & St John,6,Fail,,0,,1,5,,0,0,0,0,0,0,1,,0,2,2,1,,0,0,0,0,0,0,25.53,1,239.34,1,1195.83,2,Invalid,0,14.81,1,0,0,
0,The Central School of Speech And Drama,----,Did not sit exam,,0,,0,12,X,0,0,0,0,0,0,0,,0,5,3,4,,0,0,0,0,0,0,59.39,4,204.35,1,706.1,3,-27.38,0,3.89,4,0,0,
0,"University of Wales, Lampeter",----,Did not sit exam,,126,,0,11,X,0,0,0,0,0,0,0,,1,8,1,1,,0,0,1,1,0,0,71.64,4,47.06,4,1795.96,1,-2.11,0,15.94,1,0,0,
0,St. Mary's College,----,Did not sit exam,,0,,1.5,9,X,0,0,0,0,0,1.5,0,,0,4,2,3,,0,0,0,0,0,0,19.1,0,45.92,4,1039.05,2,Invalid,0,8.68,3,0,0,
0,Trinity University College,----,Did not sit exam,,122,,1.5,6,X,0,0,0,0,0,1.5,0,,0,3,1,2,,0,0,0,0,0,0,14.91,0,77.47,3,1420.51,1,Invalid,0,8.94,2,0,0,
